coronal,sagittal,transversal
"(214, 238, 3)","(161, 239, 16)","(212, 148, 14)"
"(215, 199, 3)","(140, 204, 16)","(204, 140, 16)"
"(316, 196, 1)","(119, 206, 6)","(318, 112, 16)"
"(306, 219, 1)","(137, 222, 7)","(308, 135, 15)"
"(258, 253, 4)","(94, 260, 11)","(258, 174, 12)"
"(228, 209, 6)","(104, 211, 15)","(227, 158, 15)"
"(232, 247, 3)","(162, 258, 15)","(231, 159, 14)"
"(229, 287, 6)","(169, 288, 14)","(232, 177, 12)"
"(174, 229, 4)","(120, 242, 20)","(171, 136, 14)"
"(177, 218, 4)","(143, 224, 20)","(174, 157, 15)"
"(299, 245, 4)","(138, 244, 8)","(296, 134, 12)"
"(219, 243, 5)","(147, 240, 14)","(214, 145, 14)"
"(308, 205, 1)","(136, 210, 7)","(304, 122, 15)"
"(260, 241, 5)","(125, 257, 11)","(210, 118, 13)"
"(219, 206, 3)","(157, 215, 16)","(218, 155, 15)"
"(241, 253, 6)","(195, 260, 14)","(240, 184, 11)"
"(231, 227, 5)","(100, 228, 14)","(233, 147, 14)"
"(186, 187, 1)","(140, 204, 19)","(185, 119, 14)"
"(221, 82, -3)","(94, 78, 15)","(219, 88, 19)"
"(237, 226, 3)","(149, 223, 14)","(218, 142, 15)"
"(260, 233, 6)","(140, 247, 11)","(260, 155, 16)"
"(317, 204, 1)","(126, 204, 7)","(298, 146, 17)"
"(232, 211, 2)","(169, 213, 15)","(231, 151, 15)"
"(288, 237, 5)","(174, 237, 9)","(289, 176, 14)"
"(293, 311, 6)","(146, 284, 8)","(302, 148, 8)"
"(292, 248, 5)","(172, 253, 7)","(294, 185, 13)"
"(232, 210, 4)","(172, 218, 15)","(231, 168, 13)"
"(331, 211, 2)","(147, 219, 5)","(335, 141, 13)"
"(266, 239, 6)","(157, 241, 10)","(274, 157, 12)"
"(248, 227, 6)","(177, 210, 13)","(250, 177, 15)"
"(322, 237, 4)","(117, 242, 6)","(322, 147, 14)"
"(216, 238, 4)","(97, 240, 15)","(214, 160, 14)"
"(186, 229, 5)","(172, 229, 19)","(183, 167, 15)"
"(203, 215, 5)","(129, 219, 16)","(198, 131, 15)"
"(306, 209, 3)","(160, 213, 7)","(309, 147, 15)"
"(187, 235, 3)","(122, 230, 18)","(188, 125, 13)"
"(313, 208, 0)","(118, 216, 5)","(316, 128, 16)"
"(241, 216, 0)","(134, 213, 14)","(241, 138, 13)"
"(305, 223, 4)","(127, 224, 7)","(306, 129, 16)"
"(223, 212, 3)","(160, 206, 16)","(220, 136, 16)"
"(241, 245, 4)","(142, 251, 14)","(241, 151, 14)"
"(230, 196, 2)","(128, 203, 14)","(229, 134, 15)"
"(219, 250, 6)","(135, 251, 15)","(230, 143, 13)"
"(189, 265, 3)","(127, 269, 18)","(190, 112, 10)"
"(235, 255, 8)","(143, 258, 14)","(234, 209, 13)"
"(231, 199, 2)","(138, 201, 14)","(230, 141, 17)"
"(242, 202, 2)","(150, 216, 14)","(224, 148, 15)"
"(297, 207, 5)","(145, 206, 8)","(297, 151, 15)"
"(271, 247, 2)","(158, 211, 10)","(272, 152, 12)"
"(265, 233, 1)","(94, 234, 11)","(265, 89, 15)"
"(323, 232, 6)","(127, 235, 6)","(321, 131, 15)"
"(250, 231, 4)","(158, 236, 12)","(250, 161, 14)"
"(250, 228, 4)","(133, 229, 13)","(250, 157, 14)"
"(259, 236, 3)","(110, 237, 12)","(242, 147, 14)"
"(260, 119, 4)","(158, 121, 12)","(260, 168, 22)"
"(236, 204, 3)","(152, 213, 14)","(235, 156, 16)"
"(219, 172, 1)","(65, 181, 15)","(217, 132, 17)"
"(240, 245, 5)","(93, 245, 14)","(234, 159, 11)"
"(239, 248, 6)","(122, 269, 14)","(232, 141, 14)"
"(211, 235, 5)","(169, 236, 16)","(209, 182, 12)"
"(235, 253, 3)","(156, 260, 13)","(235, 162, 14)"
"(259, 266, 7)","(146, 248, 12)","(260, 192, 10)"
"(209, 237, 3)","(157, 241, 16)","(207, 157, 13)"
"(205, 211, 1)","(120, 219, 17)","(203, 109, 15)"
"(282, 265, 4)","(147, 272, 10)","(281, 164, 11)"
"(193, 216, 3)","(136, 224, 18)","(190, 147, 15)"
"(299, 214, 4)","(169, 219, 8)","(300, 160, 14)"
"(239, 284, 7)","(138, 271, 14)","(236, 194, 9)"
"(216, 202, 3)","(153, 203, 16)","(214, 142, 17)"
"(231, 232, 4)","(150, 231, 14)","(230, 154, 11)"
"(211, 219, 3)","(126, 205, 16)","(208, 147, 14)"
"(205, 209, 3)","(132, 209, 17)","(203, 108, 15)"
"(202, 204, 1)","(113, 197, 18)","(201, 127, 16)"
"(315, 219, 4)","(115, 221, 6)","(318, 106, 14)"
"(230, 226, 1)","(128, 226, 14)","(229, 120, 13)"
"(272, 242, 4)","(169, 242, 10)","(273, 152, 13)"
"(294, 228, 2)","(141, 229, 8)","(296, 123, 15)"
"(231, 212, 2)","(143, 219, 14)","(229, 142, 14)"
"(223, 200, 4)","(156, 204, 16)","(222, 149, 15)"
"(255, 262, 4)","(143, 250, 11)","(270, 174, 11)"
"(262, 235, 5)","(149, 236, 11)","(255, 133, 14)"
"(294, 227, 4)","(155, 233, 8)","(296, 158, 14)"
"(250, 236, 4)","(167, 235, 13)","(250, 169, 15)"
"(230, 227, 1)","(137, 224, 14)","(229, 128, 15)"
"(262, 238, 5)","(156, 240, 11)","(263, 167, 12)"
"(293, 227, 4)","(114, 229, 6)","(295, 103, 14)"
"(282, 271, 6)","(159, 268, 8)","(283, 156, 11)"
"(245, 246, 3)","(106, 225, 12)","(249, 103, 12)"
"(283, 231, 4)","(161, 232, 9)","(285, 154, 13)"
"(288, 219, 3)","(139, 214, 9)","(289, 130, 16)"
"(294, 223, 6)","(89, 224, 8)","(296, 160, 16)"
"(270, 211, 3)","(160, 212, 11)","(270, 132, 13)"
"(229, 210, 1)","(106, 211, 15)","(229, 128, 14)"
"(242, 259, 4)","(165, 261, 11)","(257, 167, 10)"
"(293, 205, 5)","(136, 208, 9)","(298, 152, 13)"
"(289, 197, 5)","(133, 206, 9)","(290, 168, 13)"
"(259, 232, 6)","(115, 239, 12)","(261, 151, 13)"
"(238, 273, 3)","(132, 274, 13)","(238, 144, 11)"
"(228, 211, 3)","(130, 200, 14)","(228, 141, 14)"
"(270, 285, 7)","(153, 287, 10)","(269, 161, 10)"
"(227, 256, 5)","(127, 257, 14)","(226, 118, 13)"
"(227, 190, 3)","(104, 193, 14)","(226, 141, 15)"
"(273, 236, 2)","(116, 254, 10)","(282, 143, 13)"
"(294, 213, 4)","(142, 213, 8)","(299, 138, 14)"
"(238, 242, 6)","(111, 243, 13)","(237, 165, 13)"
"(345, 204, 2)","(129, 196, 4)","(349, 139, 12)"
"(200, 207, 3)","(93, 210, 18)","(198, 126, 15)"
"(292, 277, 3)","(149, 289, 9)","(285, 147, 13)"
"(221, 199, 4)","(157, 204, 15)","(220, 152, 17)"
"(280, 241, 4)","(162, 247, 10)","(280, 159, 11)"
"(204, 244, 7)","(177, 248, 16)","(199, 196, 10)"
"(200, 237, 5)","(178, 226, 17)","(198, 166, 12)"
"(213, 190, 2)","(136, 187, 16)","(213, 151, 15)"
"(227, 231, 3)","(158, 232, 14)","(226, 164, 13)"
"(272, 236, 4)","(167, 239, 10)","(273, 161, 12)"
"(260, 234, 2)","(151, 238, 12)","(261, 149, 15)"
"(241, 257, 6)","(170, 259, 13)","(240, 190, 12)"
"(285, 262, 4)","(172, 264, 9)","(286, 172, 12)"
"(277, 223, 2)","(135, 218, 10)","(268, 116, 13)"
"(308, 226, 3)","(117, 218, 7)","(307, 110, 15)"
"(240, 186, 3)","(147, 190, 14)","(240, 135, 13)"
"(205, 200, 2)","(133, 205, 17)","(203, 150, 16)"
"(232, 250, 4)","(132, 247, 16)","(231, 149, 13)"
"(270, 124, 3)","(126, 136, 10)","(272, 152, 24)"
"(207, 209, 3)","(136, 212, 16)","(214, 130, 17)"
"(245, 238, 4)","(161, 234, 12)","(248, 166, 13)"
"(185, 210, 2)","(122, 211, 18)","(179, 130, 16)"
"(231, 218, 5)","(131, 218, 14)","(232, 123, 15)"
"(305, 204, 1)","(125, 209, 7)","(308, 124, 15)"
"(286, 194, 3)","(136, 194, 9)","(284, 143, 17)"
"(261, 214, 3)","(134, 222, 11)","(261, 150, 16)"
"(290, 267, 8)","(202, 269, 8)","(292, 210, 9)"
"(238, 211, 3)","(148, 211, 13)","(238, 143, 14)"
"(270, 206, 3)","(137, 200, 11)","(270, 165, 13)"
"(221, 260, 5)","(130, 265, 16)","(220, 152, 11)"
"(194, 228, 3)","(151, 226, 18)","(177, 145, 16)"
"(182, 199, 0)","(131, 199, 19)","(179, 141, 15)"
"(293, 225, 2)","(125, 229, 8)","(295, 114, 16)"
"(289, 195, 3)","(146, 198, 9)","(291, 129, 15)"
"(260, 216, 1)","(135, 222, 12)","(259, 138, 15)"
"(211, 209, 4)","(116, 193, 17)","(214, 158, 13)"
"(309, 197, 2)","(123, 202, 7)","(311, 133, 17)"
"(270, 251, 6)","(162, 245, 11)","(270, 181, 13)"
"(202, 231, 5)","(147, 236, 16)","(200, 130, 12)"
"(328, 204, 4)","(148, 200, 5)","(332, 167, 14)"
"(218, 230, 2)","(96, 235, 14)","(225, 137, 14)"
"(289, 215, 5)","(135, 211, 9)","(290, 164, 16)"
"(236, 215, 4)","(102, 218, 14)","(235, 152, 15)"
"(204, 219, 3)","(148, 226, 17)","(202, 144, 16)"
"(206, 207, 3)","(106, 216, 17)","(204, 157, 18)"
"(301, 223, 1)","(140, 221, 8)","(300, 133, 13)"
"(214, 277, 4)","(179, 278, 16)","(212, 169, 10)"
"(286, 234, 2)","(151, 233, 9)","(288, 135, 11)"
"(247, 240, 7)","(160, 236, 13)","(251, 151, 14)"
"(232, 238, 5)","(176, 241, 15)","(231, 169, 11)"
"(250, 230, 6)","(117, 233, 13)","(250, 167, 14)"
"(295, 225, 3)","(114, 232, 9)","(296, 160, 14)"
"(240, 219, 2)","(124, 207, 14)","(239, 139, 15)"
