coronal,sagittal,transversal
"(265, 193, 19)","(294, 172, 10)","(266, 331, 18)"
"(219, 153, 22)","(350, 141, 15)","(232, 356, 21)"
"(222, 230, 23)","(341, 245, 14)","(227, 343, 10)"
"(243, 118, 20)","(336, 115, 14)","(243, 345, 24)"
"(343, 331, 28)","(393, 326, 3)","(360, 379, 3)"
"(306, 185, 25)","(366, 174, 7)","(308, 393, 16)"
"(298, 362, 31)","(374, 356, 5)","(312, 386, 4)"
"(194, 259, 28)","(372, 250, 18)","(191, 402, 12)"
"(310, 280, 23)","(331, 278, 6)","(318, 345, 10)"
"(193, 248, 26)","(404, 231, 18)","(190, 390, 13)"
"(269, 138, 18)","(275, 138, 11)","(270, 317, 24)"
"(239, 156, 21)","(323, 149, 13)","(267, 322, 24)"
"(338, 239, 28)","(428, 222, 4)","(342, 423, 12)"
"(369, 184, 21)","(292, 172, 1)","(374, 351, 18)"
"(318, 234, 28)","(410, 224, 6)","(321, 426, 10)"
"(242, 144, 18)","(219, 127, 14)","(241, 301, 21)"
"(168, 325, 23)","(372, 321, 21)","(165, 364, 5)"
"(165, 345, 23)","(378, 342, 21)","(161, 377, 4)"
"(252, 98, 16)","(296, 97, 13)","(252, 299, 24)"
"(268, 207, 27)","(396, 191, 11)","(271, 410, 14)"
"(135, 162, 11)","(227, 164, 25)","(155, 203, 19)"
"(321, 267, 23)","(332, 263, 6)","(310, 361, 10)"
"(156, 154, 28)","(386, 139, 20)","(153, 389, 25)"
"(104, 161, 12)","(223, 163, 28)","(98, 241, 22)"
"(368, 176, 23)","(308, 175, 0)","(368, 360, 19)"
"(169, 286, 27)","(404, 277, 21)","(165, 367, 8)"
"(388, 284, 17)","(271, 283, -1)","(394, 297, 8)"
"(307, 248, 27)","(380, 237, 7)","(309, 356, 13)"
"(271, 106, 17)","(304, 101, 9)","(272, 310, 25)"
"(317, 330, 24)","(378, 325, 6)","(316, 387, 6)"
"(323, 369, 27)","(390, 366, 5)","(331, 382, 4)"
"(373, 255, 27)","(393, 243, 0)","(375, 377, 8)"
"(358, 393, 19)","(273, 386, 2)","(362, 289, -1)"
"(330, 281, 26)","(385, 269, 4)","(333, 397, 8)"
"(245, 237, 20)","(336, 232, 13)","(245, 333, 13)"
"(136, 313, 23)","(375, 304, 23)","(131, 377, 8)"
"(353, 281, 28)","(406, 271, 2)","(358, 403, 11)"
"(250, 214, 26)","(368, 214, 13)","(240, 373, 15)"
"(199, 133, 21)","(325, 126, 18)","(197, 352, 23)"
"(171, 225, 24)","(397, 198, 18)","(192, 403, 16)"
"(127, 226, 28)","(362, 215, 24)","(124, 365, 19)"
"(157, 225, 28)","(413, 219, 21)","(153, 423, 14)"
"(346, 129, 6)","(185, 139, 3)","(350, 197, 20)"
"(412, 270, 15)","(284, 254, -4)","(419, 271, 8)"
"(347, 254, 10)","(206, 242, 3)","(351, 222, 9)"
"(402, 195, 14)","(270, 191, -2)","(408, 281, 17)"
"(259, 251, 29)","(366, 247, 11)","(268, 406, 10)"
"(261, 247, 23)","(307, 246, 11)","(267, 335, 9)"
"(252, 253, 32)","(467, 242, 10)","(259, 456, 13)"
"(308, 250, 27)","(404, 244, 7)","(310, 417, 11)"
"(135, 352, 26)","(399, 340, 24)","(130, 377, 6)"
"(181, 353, 25)","(398, 354, 19)","(177, 402, 3)"
"(142, 228, 17)","(307, 217, 23)","(137, 306, 16)"
"(190, 162, 21)","(315, 158, 17)","(187, 339, 21)"
"(310, 296, 31)","(393, 282, 6)","(313, 404, 8)"
"(171, 252, 28)","(383, 253, 20)","(166, 411, 10)"
"(151, 218, 26)","(407, 211, 22)","(147, 398, 15)"
"(344, 367, 29)","(385, 366, 3)","(348, 408, 3)"
"(337, 225, 25)","(354, 221, 3)","(351, 372, 12)"
"(252, 293, 24)","(382, 291, 13)","(253, 390, 11)"
"(317, 309, 29)","(406, 303, 6)","(320, 401, 9)"
"(262, 213, 29)","(411, 203, 11)","(263, 420, 17)"
"(151, 385, 25)","(410, 357, 21)","(157, 408, 4)"
"(336, 271, 26)","(368, 267, 4)","(339, 389, 5)"
"(112, 144, 16)","(280, 115, 25)","(105, 286, 20)"
"(366, 182, 8)","(203, 183, 2)","(371, 212, 19)"
"(307, 241, 26)","(399, 215, 6)","(310, 403, 16)"
"(349, 344, 27)","(376, 335, 3)","(352, 377, 4)"
"(334, 185, 25)","(367, 176, 4)","(337, 392, 14)"
"(338, 323, 28)","(342, 306, 4)","(342, 393, 5)"
