coronal,sagittal,transversal
"(271, 83, 2)","(152, 85, 10)","(277, 136, 28)"
"(239, 91, 4)","(161, 95, 13)","(237, 162, 25)"
"(281, 56, 2)","(133, 62, 9)","(292, 137, 27)"
"(260, 70, 3)","(173, 72, 12)","(260, 164, 28)"
"(288, 105, 3)","(161, 110, 9)","(289, 161, 25)"
"(294, 101, 6)","(122, 105, 8)","(296, 165, 26)"
"(228, 60, 3)","(119, 60, 14)","(227, 131, 28)"
"(233, 135, 3)","(148, 139, 15)","(232, 152, 24)"
"(265, 109, 4)","(160, 113, 10)","(290, 138, 25)"
"(354, 148, 3)","(168, 148, 2)","(359, 156, 20)"
"(325, 36, 5)","(141, 42, 6)","(327, 162, 31)"
"(211, 98, 2)","(147, 97, 16)","(209, 146, 25)"
"(319, 122, 4)","(140, 120, 6)","(339, 162, 24)"
"(223, 114, 4)","(156, 120, 16)","(222, 146, 25)"
"(269, 165, 4)","(168, 165, 11)","(270, 175, 20)"
"(281, 99, 3)","(141, 105, 10)","(282, 149, 26)"
"(224, 112, 6)","(169, 110, 15)","(211, 157, 25)"
"(212, 95, 5)","(84, 102, 16)","(210, 142, 26)"
"(250, 104, 4)","(170, 106, 13)","(250, 168, 24)"
"(220, 140, 5)","(154, 128, 16)","(218, 173, 22)"
"(343, 100, 4)","(159, 108, 3)","(344, 153, 25)"
"(196, 59, 4)","(160, 58, 18)","(193, 146, 27)"
"(269, 120, 4)","(144, 128, 11)","(270, 165, 25)"
"(223, 106, 4)","(146, 110, 16)","(222, 150, 24)"
"(235, 206, 4)","(142, 211, 14)","(234, 166, 18)"
"(217, 116, 4)","(137, 116, 16)","(204, 142, 24)"
"(207, 93, 7)","(106, 108, 17)","(205, 168, 26)"
"(215, 129, 3)","(168, 121, 16)","(214, 163, 23)"
"(276, 151, 8)","(214, 152, 9)","(285, 213, 22)"
"(287, 119, 5)","(182, 122, 9)","(289, 187, 25)"
"(224, 131, 6)","(131, 135, 15)","(218, 159, 26)"
"(232, 198, 5)","(177, 197, 15)","(231, 183, 18)"
"(225, 141, 5)","(160, 145, 15)","(218, 160, 21)"
"(230, 132, 3)","(144, 136, 15)","(229, 149, 23)"
"(294, 90, 4)","(143, 91, 8)","(295, 176, 25)"
"(250, 107, 5)","(173, 111, 13)","(250, 178, 22)"
"(224, 166, 4)","(145, 175, 15)","(228, 146, 21)"
"(278, 109, 3)","(115, 118, 9)","(279, 162, 26)"
"(301, 125, 5)","(139, 133, 8)","(302, 169, 22)"
"(254, 96, 3)","(141, 102, 12)","(255, 153, 26)"
"(306, 137, 5)","(128, 135, 8)","(303, 160, 24)"
"(306, 113, 4)","(161, 117, 7)","(308, 173, 25)"
"(287, 119, 6)","(161, 126, 9)","(289, 189, 23)"
"(278, 134, 4)","(155, 143, 10)","(279, 163, 22)"
"(238, 111, 5)","(98, 116, 13)","(235, 127, 26)"
"(316, 91, 6)","(97, 96, 6)","(318, 161, 25)"
"(252, 123, 3)","(140, 129, 13)","(251, 152, 26)"
"(260, 132, 4)","(169, 105, 12)","(260, 172, 22)"
"(308, 80, 5)","(174, 77, 7)","(325, 180, 29)"
"(245, 103, 6)","(126, 107, 13)","(244, 137, 21)"
"(196, 100, 3)","(151, 102, 18)","(193, 161, 27)"
"(241, 116, 2)","(150, 121, 14)","(240, 145, 24)"
"(179, 97, 5)","(111, 104, 20)","(174, 172, 24)"
"(251, 127, 6)","(101, 135, 13)","(250, 161, 24)"
"(196, 86, 3)","(122, 96, 17)","(194, 156, 26)"
"(287, 117, 4)","(168, 120, 9)","(289, 149, 23)"
"(221, 93, 3)","(125, 101, 15)","(223, 151, 26)"
"(279, 149, 5)","(169, 152, 10)","(280, 169, 23)"
"(259, 277, 13)","(184, 277, 12)","(258, 206, 8)"
"(272, 24, 6)","(124, 39, 10)","(272, 154, 28)"
"(250, 133, 5)","(160, 161, 12)","(249, 162, 21)"
"(204, 72, 2)","(128, 74, 17)","(195, 146, 27)"
"(251, 146, 5)","(165, 144, 12)","(251, 167, 19)"
"(269, 190, 4)","(156, 192, 11)","(270, 162, 20)"
"(223, 124, 2)","(135, 138, 16)","(222, 148, 23)"
"(209, 19, 2)","(137, 22, 16)","(207, 104, 26)"
