coronal,sagittal,transversal
"(249, 210, 19)","(254, 206, 12)","(247, 278, 17)"
"(253, 207, 14)","(223, 224, 12)","(253, 286, 15)"
"(261, 231, 11)","(245, 231, 11)","(261, 260, 12)"
"(250, 218, 14)","(274, 218, 13)","(250, 276, 15)"
"(270, 239, 16)","(266, 210, 10)","(277, 291, 13)"
"(250, 228, 15)","(264, 224, 13)","(250, 283, 12)"
"(262, 234, 14)","(261, 225, 12)","(262, 282, 14)"
"(269, 225, 14)","(264, 215, 11)","(270, 271, 13)"
"(272, 216, 16)","(270, 215, 10)","(272, 292, 14)"
"(242, 260, 19)","(294, 258, 12)","(247, 298, 13)"
"(245, 251, 16)","(241, 241, 12)","(254, 288, 8)"
"(260, 231, 13)","(269, 231, 12)","(260, 269, 13)"
"(269, 230, 15)","(255, 232, 11)","(270, 289, 15)"
"(241, 215, 15)","(287, 214, 14)","(241, 285, 15)"
"(250, 216, 16)","(287, 215, 13)","(250, 298, 15)"
"(256, 238, 18)","(229, 239, 11)","(263, 292, 14)"
"(250, 211, 16)","(300, 198, 13)","(250, 291, 15)"
"(254, 203, 16)","(274, 202, 11)","(260, 288, 15)"
"(260, 218, 15)","(239, 211, 12)","(260, 293, 15)"
"(232, 241, 17)","(277, 255, 13)","(242, 290, 14)"
"(269, 229, 14)","(280, 229, 11)","(270, 277, 12)"
"(276, 244, 11)","(226, 246, 11)","(294, 247, 12)"
"(218, 220, 15)","(267, 244, 13)","(221, 277, 12)"
"(249, 225, 14)","(270, 225, 12)","(249, 270, 16)"
"(250, 235, 21)","(298, 233, 12)","(250, 342, 11)"
"(235, 247, 18)","(289, 242, 13)","(235, 288, 15)"
"(264, 249, 17)","(241, 250, 11)","(265, 309, 13)"
"(270, 248, 15)","(269, 239, 11)","(271, 276, 14)"
"(251, 219, 16)","(235, 249, 12)","(250, 242, 14)"
"(250, 259, 11)","(241, 260, 13)","(250, 236, 13)"
"(260, 187, 14)","(265, 188, 12)","(260, 258, 15)"
"(270, 221, 15)","(240, 220, 10)","(271, 252, 13)"
"(260, 240, 13)","(253, 238, 11)","(261, 252, 15)"
"(278, 232, 14)","(233, 232, 10)","(280, 268, 12)"
"(270, 233, 13)","(249, 233, 11)","(283, 243, 11)"
"(269, 236, 15)","(291, 236, 11)","(270, 273, 16)"
"(260, 245, 14)","(242, 245, 12)","(260, 246, 13)"
"(251, 209, 15)","(305, 206, 12)","(250, 297, 14)"
"(240, 205, 17)","(289, 204, 14)","(240, 297, 14)"
"(260, 209, 16)","(254, 208, 12)","(260, 283, 15)"
"(250, 225, 15)","(281, 223, 13)","(250, 284, 14)"
"(262, 222, 17)","(241, 214, 12)","(264, 252, 15)"
"(239, 220, 16)","(251, 218, 14)","(238, 299, 16)"
"(276, 253, 20)","(298, 240, 10)","(275, 303, 13)"
"(253, 258, 14)","(221, 252, 12)","(259, 242, 15)"
"(364, 237, 16)","(233, 231, 1)","(371, 287, 13)"
"(250, 226, 14)","(285, 226, 12)","(236, 262, 13)"
"(260, 216, 11)","(235, 217, 12)","(260, 251, 13)"
"(251, 230, 13)","(261, 230, 13)","(250, 250, 13)"
"(250, 234, 14)","(256, 235, 12)","(250, 268, 13)"
