training_loss,validation_loss,test_loss
0.8013804606368057,0.7980019749529594,0.9359295239051183
0.7439974329508512,0.7280209880750791,0.8442722626030446
0.6884942525519734,0.7162200146544296,0.7486016462246577
0.65460277427878,0.7022512916442567,0.7620928851266702
0.6376097400598557,0.7017042789839011,0.684721265360713
0.6324931019340205,0.6914085167567287,0.7793841769297918
0.6171590765130467,0.7321356418254101,0.7247645277529955
0.6045298218990849,0.6924036949609234,0.6805762653549512
0.5800818087516633,0.7158233278752428,0.8020458386590084
0.5740032853657561,0.6849211054829369,0.7268277837584416
0.5769228846724845,0.7061979447582126,0.7876539306715131
0.570750204483624,0.7029916117280985,0.7558462451522548
0.5564366552022706,0.690504658868355,0.7335208747535944
0.565035186172257,0.7103182652355295,0.7501828496033947
0.5535992230165058,0.6941952661866635,0.7414834663271904
