coronal,sagittal,transversal
"(276, 253, 21)","(298, 240, 12)","(275, 303, 14)"
"(364, 237, 17)","(233, 231, 1)","(371, 287, 12)"
"(270, 211, 16)","(283, 212, 10)","(271, 301, 14)"
"(250, 230, 21)","(305, 246, 13)","(261, 307, 13)"
"(250, 222, 17)","(306, 220, 14)","(249, 306, 15)"
"(262, 237, 15)","(281, 240, 12)","(263, 303, 12)"
"(261, 252, 14)","(311, 250, 11)","(261, 297, 12)"
"(261, 295, 21)","(357, 271, 12)","(261, 344, 5)"
"(242, 230, 18)","(326, 227, 12)","(241, 342, 14)"
"(250, 232, 15)","(295, 230, 13)","(249, 293, 15)"
"(260, 214, 14)","(285, 212, 11)","(260, 279, 15)"
"(250, 232, 13)","(309, 228, 11)","(250, 282, 12)"
"(260, 203, 16)","(283, 212, 18)","(260, 306, 13)"
"(280, 221, 14)","(269, 219, 9)","(280, 287, 10)"
"(269, 211, 16)","(275, 212, 9)","(270, 296, 15)"
"(250, 235, 20)","(298, 233, 12)","(250, 342, 10)"
