coronal,sagittal,transversal
"(315, 274, 10)","(228, 259, 6)","(317, 231, 10)"
"(275, 241, 17)","(299, 227, 9)","(275, 290, 11)"
"(328, 264, 16)","(302, 263, 4)","(332, 305, 9)"
"(326, 263, 9)","(236, 256, 5)","(329, 232, 8)"
"(348, 291, 10)","(222, 287, 3)","(352, 200, 10)"
"(359, 275, 13)","(219, 264, 0)","(363, 253, 9)"
"(171, 280, 19)","(293, 293, 21)","(167, 314, 13)"
"(172, 268, 12)","(224, 268, 19)","(169, 222, 12)"
"(159, 259, 16)","(303, 253, 21)","(153, 301, 11)"
"(151, 258, 12)","(258, 252, 23)","(147, 253, 9)"
"(334, 257, 15)","(269, 258, 3)","(338, 272, 7)"
"(330, 277, 12)","(206, 278, 5)","(330, 223, 9)"
"(185, 279, 18)","(275, 276, 19)","(202, 283, 11)"
"(308, 283, 12)","(238, 282, 7)","(310, 231, 10)"
"(192, 265, 11)","(239, 265, 19)","(203, 228, 11)"
"(189, 299, 13)","(232, 294, 19)","(194, 243, 9)"
"(345, 269, 10)","(231, 260, 1)","(346, 245, 8)"
"(166, 273, 15)","(210, 274, 20)","(172, 250, 10)"
"(190, 254, 9)","(206, 248, 18)","(187, 206, 14)"
"(209, 274, 20)","(307, 259, 17)","(207, 328, 12)"
"(305, 265, 8)","(210, 266, 8)","(308, 204, 13)"
"(374, 279, 16)","(281, 277, 1)","(377, 276, 13)"
"(317, 272, 10)","(232, 272, 7)","(319, 236, 9)"
"(164, 266, 13)","(256, 262, 20)","(160, 256, 8)"
"(339, 269, 18)","(308, 267, 4)","(343, 305, 7)"
"(334, 283, 17)","(275, 274, 4)","(345, 284, 9)"
"(352, 273, 13)","(286, 272, 1)","(356, 281, 10)"
"(332, 256, 15)","(290, 257, 3)","(335, 291, 11)"
"(314, 291, 16)","(323, 286, 4)","(319, 313, 9)"
"(186, 286, 12)","(235, 277, 17)","(183, 205, 10)"
"(176, 280, 10)","(235, 283, 21)","(173, 228, 12)"
"(305, 251, 11)","(208, 257, 8)","(304, 216, 9)"
"(172, 269, 17)","(313, 243, 19)","(168, 270, 8)"
"(148, 287, 14)","(268, 272, 23)","(143, 286, 8)"
"(336, 247, 9)","(238, 248, 5)","(332, 221, 10)"
"(324, 276, 21)","(277, 270, 7)","(325, 274, 13)"
"(339, 258, 18)","(302, 259, 3)","(342, 324, 13)"
"(328, 266, 12)","(249, 265, 4)","(331, 247, 7)"
"(173, 271, 13)","(187, 272, 20)","(170, 225, 10)"
"(343, 269, 8)","(223, 276, 2)","(347, 235, 9)"
"(156, 271, 17)","(275, 267, 23)","(152, 282, 11)"
"(186, 254, 14)","(278, 251, 18)","(183, 262, 12)"
"(165, 269, 14)","(275, 256, 22)","(162, 282, 12)"
"(125, 259, 15)","(245, 275, 26)","(127, 252, 10)"
"(147, 279, 16)","(273, 272, 24)","(142, 297, 10)"
"(170, 258, 11)","(246, 258, 21)","(167, 245, 14)"
"(184, 266, 17)","(302, 264, 19)","(181, 276, 9)"
"(211, 279, 13)","(224, 279, 17)","(206, 219, 9)"
"(178, 284, 18)","(297, 278, 20)","(179, 310, 11)"
"(353, 283, 17)","(286, 283, 2)","(357, 287, 8)"
"(182, 271, 16)","(280, 272, 18)","(143, 271, 9)"
