training_loss,validation_loss,test_loss
0.7873214030292182,0.7604210979379384,1.0378950263063114
0.738077330642042,0.7283244198929947,0.8790943587819735
0.7052312805688223,0.7206701179389405,0.9847729749977588
0.678048703275555,0.6947506383325146,0.813056098173062
0.6579813076413971,0.7111607439222589,0.7769343276818593
0.6313295190642892,0.7895388828376225,0.9352506009240945
0.6053236921738206,0.6649346161073288,0.8112257109334071
0.5919708275211464,0.6600085901739323,0.7260575691858927
0.586385117448141,0.6779402952014872,0.752277335897088
0.5823457902379795,0.6528893773139051,0.7302887922773759
0.5790987061006965,0.6587708616151219,0.7314502377063036
0.5726478854111866,0.652432130962874,0.7593752890825272
0.5719808700815898,0.64580102779169,0.7423086582372586
0.5671943141625518,0.661878323726422,0.6986889893809954
0.5551258004229285,0.6572889156837379,0.7492845815916857
0.5490977844487117,0.6687341329798234,0.7093881228938699
0.5486529164626139,0.6755336875145415,0.721284530373911
0.546235954034579,0.6691969798927286,0.7150133968020479
