training_loss,validation_loss,test_loss
0.7867338568038118,0.7939623552086079,0.9000775804122289
0.7581334987045389,0.7488372084577527,0.8748497421542804
0.7402078392791801,0.7276040192990176,0.9891924880445003
0.7232899747426267,0.7245076923771242,0.9722899630665779
0.7120935815196913,0.7015582007908188,0.8576718931396802
0.6972083244637578,0.7073672996685568,0.9176444493234157
0.6821064528869053,0.6758497963964412,0.8031227802236874
0.6654138893251662,0.6393932421914245,0.8156673361857733
0.6549159136427715,0.6614416903626602,0.9760231108715137
0.6423620927040424,0.612033972038632,0.7902686892698209
0.6319870875604385,0.6482991901910411,0.8215779002755881
0.610073687755956,0.6341401064949753,0.8651672727117936
0.5806486310799961,0.6165967842778274,0.8364877976477146
0.5760998449955894,0.6258860088027685,0.8343899409597119
0.56142911584883,0.593506494850184,0.770376597220699
0.5600127639842376,0.592514225998811,0.74224083678176
0.5558148230121067,0.5935623241604957,0.7263059505571922
0.5535109916174438,0.6189741563480512,0.8059492455174525
0.5567659736998314,0.5948424461932309,0.7691731091588736
0.5522537783727841,0.5960236475267241,0.7791508092855414
0.5436319440718641,0.5956809680612214,0.7770973361407717
