training_loss,validation_loss,test_loss
0.7583479307987521,0.6873310499750407,0.7589045787851015
0.6703723460369932,0.6449012809754473,0.7467568648358186
0.639023759707281,0.6868501533053618,0.7337550222873688
0.6336454697678574,0.6250316216486745,0.7427066154778004
0.6138101153702071,0.6511904591348319,0.7601295575499535
0.5963614188645662,0.6347636878490448,0.7412760640184085
0.5424211779114815,0.604839572073084,0.7042763411998749
0.5233181589159422,0.6222597262368793,0.6337840543438991
0.5058310403760555,0.6631921086691123,0.7620274698982636
0.4602144748977987,0.6481740050413439,0.6915615813806653
0.44697504088002366,0.6396659984195654,0.6721739734212557
0.4328672814273597,0.6371889342842376,0.6821975832184156
