training_loss,validation_loss,test_loss
0.7709352499681764,0.7179282899715204,0.8285234277447064
0.6944754082643616,0.669740414197466,0.7472739850481351
0.6609744915689251,0.7225581954802032,0.8301727573076884
0.6368996973470908,0.6401307874944357,0.7714228713264067
0.6271644426031714,0.636111183570022,0.7165044526259104
0.6209363376029429,0.6503391548727466,0.7861485399305821
0.6081792722761103,0.638442949251791,0.7189003535856803
0.5423515129183312,0.6222006861219364,0.7422049418091774
0.5217440234027407,0.6407778959193852,0.7151974904661377
0.5124199808579334,0.624276687481762,0.7118590385963519
0.4751191835446629,0.6411226468276133,0.7730947916085521
0.45644641975847494,0.6719028627977962,0.7980411351968845
0.44410098215927724,0.6650485857101405,0.8043501428638895
