coronal,sagittal,transversal
"(153, 275, 13)","(280, 275, 22)","(148, 270, 10)"
"(370, 262, 16)","(258, 262, 0)","(375, 264, 9)"
"(367, 276, 16)","(300, 273, 1)","(372, 303, 9)"
"(148, 275, 18)","(284, 273, 23)","(143, 289, 10)"
"(162, 276, 15)","(287, 271, 22)","(157, 267, 10)"
"(363, 286, 15)","(285, 285, 2)","(368, 275, 9)"
"(368, 261, 16)","(208, 259, 1)","(373, 258, 11)"
"(150, 262, 11)","(251, 262, 23)","(145, 250, 10)"
"(147, 244, 16)","(284, 242, 23)","(142, 287, 12)"
"(353, 257, 14)","(241, 256, 3)","(355, 236, 12)"
"(353, 263, 17)","(226, 267, 3)","(357, 277, 11)"
"(160, 245, 15)","(287, 243, 22)","(156, 291, 14)"
"(142, 283, 15)","(269, 273, 23)","(137, 288, 7)"
"(344, 306, 17)","(295, 305, 3)","(353, 290, 9)"
"(369, 279, 15)","(260, 274, 1)","(374, 291, 11)"
"(157, 298, 13)","(218, 292, 23)","(148, 244, 9)"
"(127, 274, 15)","(218, 273, 24)","(119, 233, 11)"
"(159, 296, 15)","(292, 262, 22)","(155, 290, 8)"
"(162, 295, 13)","(266, 288, 22)","(160, 251, 10)"
"(381, 276, 15)","(235, 273, 0)","(387, 238, 6)"
"(370, 257, 13)","(269, 257, 1)","(375, 258, 11)"
"(362, 257, 15)","(222, 253, 2)","(365, 279, 10)"
"(357, 286, 18)","(237, 279, 2)","(361, 285, 10)"
"(131, 248, 13)","(245, 246, 24)","(126, 268, 12)"
"(128, 260, 13)","(244, 260, 24)","(125, 266, 11)"
"(367, 258, 13)","(267, 257, 1)","(372, 265, 13)"
"(368, 252, 13)","(221, 259, 0)","(372, 231, 8)"
"(138, 311, 16)","(283, 334, 23)","(133, 283, 5)"
"(135, 243, 14)","(267, 233, 24)","(136, 281, 12)"
"(154, 251, 14)","(256, 249, 22)","(150, 259, 10)"
"(367, 249, 12)","(254, 248, 1)","(372, 256, 12)"
"(347, 270, 12)","(242, 264, 3)","(350, 256, 10)"
"(337, 274, 12)","(247, 263, 4)","(340, 246, 12)"
"(150, 295, 14)","(281, 295, 23)","(145, 280, 10)"
"(364, 278, 12)","(284, 278, 2)","(361, 241, 9)"
"(364, 291, 13)","(255, 290, 2)","(368, 270, 11)"
"(141, 270, 17)","(239, 269, 23)","(136, 240, 11)"
"(164, 266, 12)","(233, 266, 21)","(160, 258, 11)"
"(348, 285, 14)","(213, 285, 2)","(353, 231, 10)"
"(351, 275, 15)","(237, 271, 2)","(355, 256, 10)"
"(352, 286, 13)","(240, 271, 2)","(357, 264, 10)"
"(152, 282, 11)","(252, 282, 22)","(148, 232, 10)"
"(164, 269, 17)","(263, 253, 22)","(171, 285, 9)"
"(148, 266, 17)","(307, 238, 22)","(164, 289, 12)"
"(163, 263, 12)","(246, 263, 21)","(160, 251, 13)"
"(145, 298, 16)","(264, 297, 22)","(140, 252, 10)"
"(358, 265, 16)","(226, 265, 2)","(366, 259, 10)"
"(364, 271, 16)","(253, 268, 1)","(374, 259, 11)"
"(160, 274, 14)","(292, 265, 21)","(157, 262, 9)"
"(362, 259, 14)","(278, 259, 2)","(366, 279, 12)"
"(155, 300, 18)","(306, 293, 23)","(128, 293, 6)"
"(367, 270, 15)","(266, 268, 1)","(372, 282, 10)"
"(343, 281, 14)","(171, 280, 2)","(351, 229, 10)"
"(147, 303, 18)","(260, 308, 22)","(145, 276, 8)"
"(148, 264, 15)","(202, 263, 22)","(144, 273, 9)"
"(141, 258, 14)","(209, 257, 22)","(136, 258, 13)"
"(353, 279, 18)","(287, 279, 2)","(371, 272, 8)"
"(149, 285, 16)","(256, 257, 21)","(152, 277, 9)"
"(160, 273, 12)","(216, 270, 22)","(156, 217, 10)"
"(163, 265, 11)","(252, 266, 21)","(159, 248, 11)"
"(365, 266, 13)","(174, 268, 1)","(369, 232, 7)"
"(155, 259, 17)","(275, 257, 21)","(151, 297, 10)"
"(346, 287, 16)","(216, 285, 1)","(361, 224, 11)"
"(368, 288, 14)","(254, 300, 1)","(371, 254, 9)"
"(134, 239, 13)","(247, 261, 24)","(129, 257, 11)"
"(165, 265, 9)","(266, 277, 21)","(146, 266, 11)"
"(374, 274, 15)","(231, 272, 0)","(376, 251, 8)"
"(358, 293, 14)","(260, 295, 0)","(364, 251, 8)"
"(361, 276, 17)","(257, 271, 1)","(365, 281, 10)"
"(365, 287, 19)","(319, 277, 1)","(370, 325, 10)"
"(138, 269, 15)","(261, 263, 21)","(146, 293, 11)"
"(173, 264, 8)","(220, 271, 21)","(169, 195, 11)"
"(145, 273, 14)","(218, 282, 22)","(90, 212, 10)"
"(156, 295, 17)","(301, 294, 21)","(152, 310, 8)"
"(370, 255, 13)","(253, 258, 0)","(377, 248, 12)"
"(362, 315, 14)","(237, 310, 0)","(370, 272, 12)"
"(148, 288, 15)","(233, 288, 24)","(134, 237, 9)"
"(147, 276, 14)","(202, 278, 23)","(142, 263, 9)"
"(145, 254, 11)","(239, 254, 23)","(140, 235, 13)"
"(365, 288, 14)","(285, 285, 2)","(369, 274, 8)"
"(166, 245, 13)","(212, 235, 20)","(162, 220, 10)"
"(371, 183, 8)","(219, 168, 0)","(376, 213, 11)"
"(155, 288, 17)","(288, 283, 24)","(149, 278, 12)"
"(147, 273, 13)","(249, 273, 23)","(130, 237, 9)"
"(345, 256, 11)","(242, 256, 4)","(349, 249, 12)"
"(159, 291, 15)","(266, 285, 21)","(156, 250, 11)"
"(141, 302, 14)","(258, 278, 23)","(136, 288, 9)"
"(155, 268, 18)","(319, 274, 22)","(156, 273, 11)"
"(174, 295, 13)","(285, 296, 20)","(171, 248, 7)"
"(147, 306, 14)","(264, 290, 22)","(139, 279, 10)"
"(362, 264, 16)","(302, 263, 2)","(367, 289, 11)"
"(379, 247, 14)","(273, 245, -1)","(384, 272, 12)"
"(353, 274, 14)","(251, 274, 1)","(371, 281, 12)"
"(144, 276, 14)","(275, 276, 24)","(138, 267, 11)"
"(154, 284, 10)","(224, 285, 22)","(154, 252, 11)"
"(365, 258, 9)","(227, 259, 2)","(356, 236, 11)"
"(149, 301, 15)","(266, 284, 22)","(145, 275, 9)"
"(344, 273, 11)","(240, 273, 3)","(348, 250, 11)"
"(146, 284, 18)","(252, 263, 22)","(141, 311, 11)"
"(397, 294, 16)","(288, 292, -2)","(403, 245, 7)"
"(149, 201, 12)","(201, 185, 23)","(144, 235, 14)"
"(163, 270, 14)","(275, 270, 21)","(160, 281, 12)"
"(147, 266, 15)","(240, 267, 23)","(142, 267, 11)"
"(347, 280, 11)","(219, 281, 3)","(352, 217, 9)"
"(161, 285, 17)","(248, 282, 21)","(137, 256, 11)"
"(143, 268, 14)","(266, 267, 22)","(138, 281, 12)"
"(365, 249, 16)","(284, 253, 1)","(374, 282, 11)"
"(365, 269, 15)","(262, 255, 1)","(368, 261, 11)"
"(149, 265, 12)","(250, 266, 23)","(144, 241, 11)"
"(169, 262, 8)","(186, 276, 21)","(165, 201, 11)"
"(362, 267, 12)","(234, 267, 1)","(365, 254, 10)"
"(362, 251, 16)","(282, 247, 2)","(366, 288, 12)"
"(365, 265, 12)","(203, 265, 2)","(369, 222, 8)"
"(169, 285, 11)","(218, 285, 20)","(165, 223, 8)"
"(360, 277, 11)","(255, 267, 2)","(365, 260, 11)"
"(355, 273, 16)","(253, 276, 2)","(357, 254, 10)"
"(370, 252, 13)","(253, 251, 1)","(375, 261, 13)"
"(151, 248, 15)","(290, 248, 23)","(147, 288, 13)"
"(140, 253, 19)","(321, 250, 24)","(135, 317, 12)"
"(355, 264, 13)","(272, 263, 2)","(359, 246, 11)"
"(357, 269, 13)","(273, 268, 2)","(361, 276, 13)"
"(124, 260, 14)","(265, 257, 25)","(119, 279, 10)"
"(356, 284, 15)","(272, 276, 2)","(364, 280, 7)"
"(352, 263, 14)","(271, 263, 3)","(356, 267, 10)"
"(152, 268, 15)","(265, 266, 22)","(148, 264, 9)"
"(165, 279, 12)","(241, 281, 22)","(179, 227, 9)"
"(336, 282, 16)","(257, 283, 3)","(346, 266, 12)"
"(131, 266, 11)","(239, 264, 23)","(117, 228, 12)"
"(118, 255, 14)","(268, 279, 23)","(116, 271, 9)"
"(368, 281, 11)","(217, 276, 0)","(376, 222, 12)"
"(148, 290, 13)","(267, 289, 22)","(143, 263, 9)"
"(361, 286, 17)","(287, 279, 1)","(365, 267, 10)"
"(358, 286, 17)","(247, 278, 0)","(369, 262, 9)"
"(135, 256, 13)","(244, 277, 24)","(117, 258, 11)"
"(153, 282, 15)","(217, 271, 23)","(149, 207, 11)"
"(347, 280, 13)","(270, 293, 2)","(351, 271, 10)"
"(140, 266, 15)","(273, 261, 23)","(136, 253, 9)"
"(119, 266, 17)","(308, 262, 25)","(113, 296, 8)"
"(372, 282, 15)","(291, 272, 0)","(379, 281, 11)"
"(371, 279, 20)","(289, 277, 1)","(371, 294, 9)"
"(161, 287, 13)","(273, 284, 21)","(158, 245, 9)"
"(360, 288, 15)","(248, 290, 1)","(365, 240, 10)"
"(124, 278, 17)","(263, 263, 25)","(125, 272, 11)"
"(358, 292, 16)","(278, 292, 1)","(363, 277, 11)"
"(374, 290, 17)","(298, 285, 0)","(379, 289, 7)"
"(377, 278, 15)","(269, 278, -1)","(390, 265, 10)"
"(368, 278, 12)","(223, 266, 0)","(372, 261, 9)"
"(142, 289, 14)","(291, 285, 23)","(137, 279, 9)"
"(158, 268, 12)","(261, 268, 22)","(154, 262, 10)"
"(158, 268, 11)","(242, 271, 21)","(154, 239, 11)"
"(360, 268, 15)","(288, 256, 1)","(365, 286, 9)"
"(346, 297, 18)","(259, 295, 2)","(350, 258, 10)"
"(368, 288, 16)","(283, 287, 1)","(373, 294, 11)"
"(168, 284, 15)","(249, 281, 21)","(164, 245, 9)"
"(355, 304, 17)","(210, 305, 1)","(383, 222, 8)"
"(362, 274, 16)","(235, 268, 0)","(367, 310, 12)"
"(358, 280, 17)","(307, 278, 2)","(363, 308, 10)"
"(150, 296, 18)","(269, 296, 22)","(155, 270, 9)"
"(378, 253, 14)","(265, 253, 0)","(384, 268, 13)"
"(348, 299, 10)","(195, 300, 3)","(352, 227, 7)"
"(127, 328, 16)","(312, 312, 24)","(122, 289, 7)"
"(156, 287, 13)","(210, 276, 21)","(151, 252, 9)"
"(348, 279, 16)","(275, 271, 3)","(352, 294, 9)"
"(135, 277, 15)","(270, 291, 24)","(129, 291, 13)"
"(361, 270, 14)","(265, 259, 1)","(365, 266, 11)"
"(370, 263, 13)","(253, 260, 0)","(383, 267, 12)"
"(147, 267, 14)","(283, 266, 23)","(143, 280, 9)"
"(146, 270, 14)","(257, 268, 23)","(141, 257, 13)"
"(365, 268, 14)","(246, 269, 0)","(370, 265, 11)"
"(354, 272, 14)","(281, 271, 3)","(358, 284, 10)"
"(154, 291, 18)","(313, 247, 22)","(150, 301, 11)"
"(351, 276, 16)","(301, 267, 3)","(353, 298, 11)"
"(139, 259, 12)","(285, 251, 23)","(134, 245, 10)"
"(156, 278, 16)","(240, 276, 21)","(151, 296, 8)"
"(378, 294, 17)","(294, 290, 0)","(383, 319, 9)"
"(355, 295, 14)","(272, 276, 2)","(353, 277, 10)"
"(170, 288, 12)","(248, 282, 20)","(163, 259, 7)"
"(147, 277, 15)","(279, 269, 22)","(143, 273, 8)"
"(364, 274, 17)","(249, 274, 2)","(369, 295, 10)"
"(367, 288, 19)","(296, 287, 1)","(372, 288, 10)"
"(374, 265, 13)","(248, 265, 0)","(379, 222, 11)"
"(357, 253, 16)","(279, 252, 2)","(362, 283, 9)"
"(377, 296, 16)","(274, 285, 0)","(379, 276, 8)"
"(156, 226, 17)","(298, 226, 22)","(152, 292, 11)"
"(352, 270, 14)","(250, 268, 2)","(356, 256, 9)"
"(361, 279, 17)","(286, 260, 1)","(366, 295, 10)"
"(356, 260, 17)","(300, 259, 2)","(361, 291, 12)"
"(363, 274, 15)","(280, 271, 1)","(367, 287, 9)"
"(348, 275, 15)","(267, 268, 3)","(352, 292, 11)"
"(141, 287, 15)","(281, 285, 23)","(136, 276, 5)"
"(214, 268, 20)","(346, 266, 16)","(212, 343, 10)"
"(380, 283, 14)","(272, 279, -1)","(386, 267, 11)"
"(169, 267, 14)","(268, 274, 21)","(165, 271, 10)"
"(360, 287, 16)","(282, 284, 1)","(365, 264, 11)"
"(344, 289, 17)","(248, 287, 2)","(347, 267, 9)"
"(355, 259, 17)","(293, 258, 2)","(359, 298, 10)"
"(157, 272, 14)","(248, 272, 21)","(147, 244, 9)"
"(366, 272, 17)","(278, 270, 1)","(371, 291, 9)"
"(356, 259, 15)","(275, 257, 2)","(360, 273, 8)"
"(172, 297, 16)","(251, 289, 22)","(163, 258, 7)"
"(146, 296, 14)","(253, 290, 23)","(149, 267, 10)"
