coronal,sagittal,transversal
"(223, 157, 4)","(135, 165, 16)","(222, 153, 20)"
"(208, 202, 5)","(117, 203, 16)","(206, 114, 17)"
"(253, 164, 2)","(148, 167, 13)","(253, 148, 20)"
"(250, 268, 7)","(204, 269, 12)","(249, 208, 12)"
"(292, 185, 4)","(160, 190, 8)","(293, 155, 17)"
"(300, 174, 4)","(126, 179, 7)","(302, 153, 17)"
"(220, 175, 3)","(133, 187, 16)","(219, 119, 22)"
"(284, 263, 10)","(201, 264, 8)","(285, 185, 13)"
"(203, 174, 3)","(150, 162, 17)","(207, 148, 19)"
"(210, 166, 1)","(112, 169, 15)","(213, 123, 23)"
"(283, 261, 8)","(205, 258, 11)","(261, 191, 10)"
"(319, 163, 3)","(138, 167, 6)","(321, 156, 18)"
"(289, 126, -1)","(98, 141, 9)","(291, 113, 24)"
"(288, 167, 4)","(174, 169, 9)","(289, 169, 21)"
"(292, 133, 5)","(176, 140, 9)","(294, 180, 22)"
"(206, 132, 2)","(155, 135, 16)","(203, 152, 23)"
"(251, 261, 9)","(215, 256, 13)","(232, 210, 12)"
"(232, 256, 9)","(218, 258, 15)","(231, 224, 12)"
"(207, 149, 5)","(121, 150, 15)","(198, 164, 21)"
"(202, 218, 5)","(109, 209, 17)","(200, 168, 17)"
"(210, 196, 1)","(125, 204, 16)","(208, 140, 18)"
"(216, 170, 5)","(162, 182, 17)","(214, 174, 19)"
"(310, 181, 1)","(145, 178, 7)","(313, 154, 20)"
"(224, 146, 3)","(159, 150, 16)","(223, 149, 21)"
"(272, 258, 7)","(202, 258, 10)","(271, 182, 13)"
"(274, 145, 2)","(144, 153, 10)","(275, 121, 22)"
"(205, 140, 2)","(136, 141, 17)","(203, 146, 20)"
"(312, 199, 4)","(133, 199, 6)","(313, 133, 19)"
"(189, 188, 4)","(162, 195, 18)","(184, 155, 18)"
"(195, 187, 4)","(109, 195, 17)","(194, 162, 19)"
"(298, 169, 6)","(155, 172, 8)","(299, 128, 19)"
"(211, 177, 3)","(151, 182, 16)","(209, 158, 21)"
"(291, 198, 5)","(132, 193, 8)","(299, 140, 18)"
"(292, 143, 4)","(92, 128, 8)","(293, 122, 20)"
"(209, 150, 2)","(126, 171, 16)","(197, 138, 20)"
"(220, 210, 4)","(171, 215, 16)","(219, 129, 18)"
"(219, 147, 2)","(142, 152, 16)","(218, 136, 21)"
"(209, 157, 0)","(121, 160, 16)","(207, 130, 20)"
"(221, 178, 2)","(147, 182, 15)","(219, 136, 19)"
"(292, 177, 4)","(156, 177, 8)","(294, 159, 16)"
"(293, 130, 4)","(138, 136, 8)","(296, 143, 21)"
"(209, 200, 3)","(94, 202, 16)","(207, 133, 19)"
"(211, 165, 1)","(135, 170, 16)","(210, 147, 19)"
"(240, 127, 3)","(156, 134, 14)","(239, 158, 23)"
"(238, 129, 6)","(174, 130, 13)","(238, 165, 21)"
"(211, 215, 5)","(119, 205, 16)","(207, 147, 17)"
"(200, 193, 3)","(134, 198, 17)","(200, 160, 17)"
"(213, 148, 5)","(115, 152, 15)","(210, 171, 20)"
"(215, 160, 5)","(165, 155, 15)","(213, 170, 19)"
"(302, 156, 4)","(153, 164, 7)","(304, 152, 20)"
"(213, 178, 4)","(170, 179, 17)","(214, 165, 19)"
"(209, 249, 2)","(126, 242, 16)","(207, 141, 14)"
"(205, 187, 2)","(131, 194, 17)","(203, 127, 15)"
"(274, 247, 5)","(192, 250, 10)","(277, 175, 15)"
"(251, 156, 6)","(123, 175, 10)","(263, 128, 22)"
"(213, 144, 5)","(153, 147, 17)","(177, 170, 21)"
"(232, 135, 3)","(106, 136, 15)","(230, 102, 23)"
"(221, 209, 4)","(141, 208, 14)","(228, 145, 16)"
"(209, 154, 3)","(152, 156, 16)","(207, 155, 21)"
"(219, 201, 4)","(158, 206, 15)","(218, 163, 17)"
"(229, 190, 5)","(162, 189, 15)","(222, 142, 18)"
"(204, 129, 1)","(137, 137, 17)","(202, 138, 21)"
"(232, 187, 6)","(122, 184, 15)","(232, 128, 18)"
"(302, 178, 6)","(151, 186, 7)","(304, 154, 17)"
"(209, 177, 4)","(144, 184, 17)","(207, 152, 18)"
"(230, 149, -1)","(96, 154, 14)","(231, 94, 23)"
"(201, 180, 2)","(165, 184, 17)","(197, 149, 19)"
"(238, 149, 2)","(152, 153, 14)","(238, 162, 23)"
"(217, 148, 2)","(120, 151, 16)","(216, 113, 22)"
"(248, 136, 6)","(139, 136, 12)","(249, 112, 23)"
"(280, 138, 4)","(125, 140, 10)","(244, 115, 22)"
"(280, 103, 5)","(143, 120, 10)","(282, 135, 26)"
"(255, 124, 0)","(101, 132, 11)","(268, 117, 24)"
"(209, 143, 2)","(140, 150, 16)","(210, 129, 21)"
"(325, 190, 5)","(155, 189, 5)","(328, 160, 17)"
"(286, 187, 3)","(156, 196, 9)","(288, 163, 17)"
"(312, 175, 5)","(155, 173, 6)","(311, 154, 19)"
"(199, 155, 3)","(147, 148, 17)","(197, 154, 21)"
"(209, 171, 4)","(149, 171, 17)","(209, 160, 20)"
"(221, 168, 3)","(104, 173, 15)","(219, 161, 20)"
"(206, 199, 3)","(118, 200, 17)","(204, 112, 18)"
"(211, 181, 5)","(147, 185, 16)","(205, 152, 19)"
"(216, 169, 3)","(171, 175, 16)","(214, 167, 20)"
"(310, 179, 6)","(173, 178, 7)","(312, 178, 21)"
"(204, 171, 4)","(149, 167, 17)","(201, 167, 18)"
