coronal,sagittal,transversal
"(320, 167, 11)","(214, 168, 6)","(323, 226, 19)"
"(186, 218, 12)","(228, 214, 19)","(184, 225, 15)"
"(168, 212, 19)","(241, 207, 21)","(164, 297, 16)"
"(331, 158, 11)","(215, 142, 5)","(333, 235, 20)"
"(327, 207, 13)","(262, 205, 5)","(330, 270, 17)"
"(250, 98, 11)","(148, 99, 13)","(250, 213, 24)"
"(315, 169, 20)","(322, 167, 6)","(318, 329, 17)"
"(206, 254, 9)","(234, 259, 17)","(203, 231, 14)"
"(154, 234, 18)","(249, 232, 21)","(150, 251, 14)"
"(280, 273, 18)","(283, 283, 10)","(281, 309, 10)"
"(316, 248, 15)","(249, 237, 6)","(318, 281, 10)"
"(167, 299, 13)","(257, 299, 21)","(163, 234, 11)"
"(329, 247, 13)","(253, 232, 5)","(331, 253, 12)"
"(175, 196, 14)","(270, 169, 19)","(194, 252, 18)"
"(156, 272, 12)","(218, 272, 21)","(152, 205, 12)"
"(309, 215, 5)","(180, 217, 7)","(311, 178, 15)"
"(186, 222, 13)","(208, 242, 19)","(183, 267, 14)"
"(188, 241, 16)","(295, 238, 19)","(185, 283, 12)"
"(280, 195, 12)","(199, 199, 9)","(282, 222, 17)"
"(222, 243, 13)","(283, 243, 16)","(221, 266, 14)"
"(269, 243, 10)","(223, 229, 11)","(270, 236, 15)"
"(334, 257, 13)","(202, 257, 3)","(338, 250, 13)"
"(328, 262, 14)","(245, 264, 5)","(344, 229, 9)"
"(347, 246, 11)","(230, 245, 3)","(351, 246, 11)"
"(184, 233, 18)","(273, 228, 19)","(181, 280, 13)"
"(330, 194, 4)","(158, 188, 5)","(333, 161, 16)"
"(206, 175, 17)","(246, 173, 16)","(204, 297, 18)"
"(302, 265, 18)","(238, 262, 5)","(314, 245, 13)"
"(346, 241, 17)","(252, 238, 3)","(347, 276, 11)"
"(297, 213, 17)","(255, 209, 8)","(299, 284, 16)"
"(328, 205, 19)","(310, 197, 5)","(331, 327, 18)"
"(173, 225, 10)","(244, 229, 20)","(169, 224, 14)"
"(351, 166, 6)","(204, 171, 3)","(355, 195, 19)"
