coronal,sagittal,transversal
"(354, 212, 14)","(188, 219, 3)","(359, 243, 16)"
"(376, 234, 14)","(204, 234, 0)","(378, 223, 15)"
"(364, 207, 14)","(272, 199, 2)","(367, 290, 18)"
"(149, 219, 11)","(236, 220, 23)","(144, 242, 17)"
"(377, 210, 13)","(209, 229, 0)","(382, 271, 15)"
"(138, 205, 20)","(332, 201, 24)","(132, 324, 15)"
"(359, 187, 16)","(287, 185, 2)","(364, 298, 18)"
"(362, 222, 15)","(234, 226, 1)","(367, 262, 15)"
"(387, 222, 15)","(234, 222, -1)","(393, 256, 14)"
"(383, 181, 13)","(232, 180, 0)","(388, 253, 18)"
"(152, 219, 15)","(273, 221, 23)","(148, 293, 15)"
"(147, 215, 14)","(282, 214, 23)","(141, 264, 16)"
"(121, 219, 14)","(267, 219, 25)","(115, 266, 16)"
"(404, 141, 9)","(225, 125, -3)","(410, 222, 14)"
"(387, 209, 13)","(260, 209, -1)","(393, 255, 16)"
"(132, 251, 18)","(302, 235, 23)","(127, 313, 13)"
"(146, 215, 13)","(268, 212, 24)","(141, 252, 15)"
"(128, 227, 18)","(228, 228, 24)","(130, 302, 15)"
"(381, 225, 14)","(278, 213, 0)","(386, 267, 13)"
"(382, 254, 13)","(221, 249, 0)","(387, 270, 12)"
"(372, 189, 17)","(280, 183, 0)","(378, 313, 17)"
"(367, 226, 13)","(244, 211, 1)","(371, 263, 13)"
"(371, 255, 14)","(232, 259, 0)","(374, 232, 12)"
"(132, 170, 17)","(307, 169, 25)","(127, 308, 18)"
"(162, 247, 13)","(251, 248, 22)","(173, 235, 11)"
"(352, 242, 17)","(284, 265, 0)","(361, 297, 10)"
"(142, 209, 14)","(281, 199, 23)","(137, 281, 17)"
"(160, 257, 17)","(280, 248, 22)","(156, 309, 10)"
"(123, 191, 16)","(292, 188, 25)","(118, 289, 15)"
"(165, 203, 16)","(212, 202, 22)","(157, 225, 19)"
"(370, 201, 16)","(270, 201, -1)","(376, 268, 19)"
"(151, 208, 13)","(268, 201, 22)","(147, 268, 17)"
"(386, 183, 13)","(245, 173, -1)","(392, 244, 20)"
"(346, 230, 13)","(209, 231, 3)","(349, 262, 13)"
"(137, 280, 19)","(281, 279, 23)","(141, 282, 11)"
"(152, 267, 15)","(245, 266, 22)","(148, 242, 11)"
"(148, 247, 12)","(237, 247, 22)","(143, 221, 15)"
"(166, 292, 18)","(275, 284, 22)","(156, 282, 7)"
"(369, 267, 13)","(251, 266, 1)","(374, 271, 11)"
"(139, 283, 18)","(265, 282, 24)","(129, 282, 9)"
"(372, 257, 14)","(260, 257, 1)","(390, 251, 9)"
"(135, 236, 16)","(282, 235, 24)","(130, 280, 15)"
"(157, 242, 15)","(214, 232, 22)","(153, 275, 13)"
"(141, 219, 16)","(293, 216, 23)","(137, 288, 19)"
"(375, 205, 15)","(226, 213, 1)","(394, 228, 17)"
"(378, 199, 14)","(269, 197, 0)","(383, 278, 16)"
"(364, 227, 13)","(263, 227, 2)","(369, 266, 15)"
"(357, 199, 16)","(257, 193, 2)","(361, 263, 15)"
"(364, 229, 13)","(187, 229, 1)","(370, 258, 12)"
"(386, 220, 15)","(204, 219, -1)","(384, 276, 14)"
"(153, 205, 13)","(222, 205, 22)","(149, 255, 16)"
"(139, 217, 16)","(288, 218, 23)","(134, 289, 15)"
"(163, 241, 9)","(209, 238, 21)","(158, 220, 14)"
"(146, 220, 15)","(232, 220, 22)","(143, 263, 17)"
"(387, 217, 13)","(248, 223, -2)","(393, 270, 15)"
"(393, 214, 14)","(242, 215, -2)","(399, 233, 16)"
"(139, 214, 13)","(198, 223, 24)","(134, 267, 13)"
"(367, 198, 15)","(273, 193, 1)","(371, 278, 17)"
"(363, 216, 14)","(262, 211, 2)","(368, 271, 14)"
"(133, 254, 15)","(288, 251, 24)","(127, 292, 11)"
"(373, 206, 14)","(291, 198, 0)","(378, 281, 17)"
"(141, 214, 14)","(278, 213, 24)","(134, 269, 15)"
"(132, 205, 15)","(225, 200, 24)","(126, 242, 16)"
"(311, 417, 14)","(305, 415, 7)","(313, 280, -2)"
"(159, 201, 10)","(260, 203, 22)","(155, 237, 16)"
"(369, 223, 13)","(275, 223, 0)","(374, 257, 17)"
"(359, 247, 16)","(247, 246, 2)","(363, 249, 13)"
"(138, 223, 17)","(273, 222, 23)","(134, 279, 15)"
"(130, 283, 13)","(281, 283, 24)","(124, 262, 10)"
"(374, 231, 13)","(243, 232, 0)","(379, 228, 16)"
"(350, 222, 12)","(257, 218, 3)","(354, 266, 16)"
"(122, 301, 15)","(255, 300, 25)","(118, 268, 9)"
"(396, 225, 14)","(269, 220, -1)","(399, 278, 16)"
"(378, 263, 14)","(253, 264, 0)","(384, 260, 10)"
"(342, 241, 12)","(227, 239, 3)","(345, 259, 16)"
"(360, 263, 15)","(300, 263, 2)","(364, 279, 12)"
"(148, 232, 15)","(250, 222, 22)","(143, 258, 14)"
"(154, 357, 15)","(228, 358, 22)","(149, 226, 1)"
"(130, 233, 14)","(203, 239, 23)","(125, 252, 15)"
"(385, 217, 15)","(242, 212, -1)","(390, 254, 16)"
"(154, 234, 13)","(265, 233, 22)","(150, 268, 15)"
"(141, 215, 17)","(283, 216, 24)","(129, 282, 15)"
"(148, 220, 15)","(281, 217, 22)","(144, 255, 12)"
"(371, 211, 14)","(213, 231, 1)","(376, 259, 16)"
"(353, 257, 11)","(254, 258, 3)","(357, 250, 12)"
"(141, 231, 11)","(241, 234, 23)","(138, 243, 16)"
"(371, 254, 15)","(265, 268, 1)","(376, 283, 13)"
"(384, 202, 11)","(238, 192, -1)","(388, 237, 18)"
"(368, 208, 14)","(274, 205, 1)","(373, 255, 13)"
"(126, 214, 14)","(248, 216, 25)","(121, 262, 18)"
"(370, 189, 12)","(242, 189, 1)","(375, 253, 19)"
"(129, 209, 12)","(214, 209, 24)","(124, 247, 16)"
"(132, 214, 13)","(261, 213, 24)","(128, 265, 15)"
"(379, 239, 13)","(222, 239, 0)","(385, 268, 13)"
"(378, 191, 15)","(274, 190, 0)","(384, 289, 17)"
"(348, 203, 10)","(214, 194, 2)","(368, 228, 16)"
"(134, 204, 12)","(261, 205, 24)","(129, 260, 17)"
"(353, 198, 13)","(236, 201, 2)","(357, 267, 18)"
"(134, 230, 16)","(265, 232, 23)","(131, 265, 15)"
"(358, 342, 15)","(272, 319, 1)","(364, 292, 6)"
"(153, 223, 12)","(221, 223, 22)","(148, 250, 13)"
"(154, 235, 16)","(227, 230, 22)","(150, 255, 12)"
"(366, 219, 15)","(276, 212, 1)","(370, 278, 14)"
"(116, 214, 12)","(228, 195, 25)","(109, 249, 12)"
"(378, 244, 12)","(248, 241, 0)","(383, 258, 13)"
"(146, 195, 13)","(249, 185, 23)","(141, 262, 17)"
"(147, 212, 13)","(265, 211, 22)","(143, 262, 17)"
"(362, 207, 11)","(241, 208, 1)","(367, 233, 18)"
"(154, 183, 11)","(243, 184, 22)","(150, 224, 18)"
"(144, 240, 12)","(243, 239, 23)","(140, 256, 15)"
"(131, 178, 13)","(262, 185, 25)","(126, 268, 18)"
"(366, 252, 12)","(260, 252, 2)","(370, 260, 12)"
"(350, 238, 15)","(251, 234, 2)","(354, 280, 11)"
"(146, 227, 14)","(261, 230, 23)","(141, 267, 15)"
"(136, 230, 13)","(260, 216, 23)","(131, 276, 15)"
"(142, 277, 13)","(205, 275, 23)","(137, 244, 9)"
"(155, 204, 15)","(278, 204, 22)","(150, 283, 16)"
"(389, 191, 12)","(254, 191, -2)","(395, 242, 14)"
"(381, 207, 16)","(261, 208, 0)","(386, 252, 17)"
"(155, 233, 13)","(270, 233, 22)","(150, 253, 15)"
"(138, 229, 16)","(239, 228, 23)","(129, 261, 16)"
"(361, 273, 12)","(235, 275, 1)","(366, 250, 9)"
"(151, 288, 15)","(272, 298, 23)","(139, 275, 12)"
"(141, 230, 16)","(265, 228, 23)","(137, 256, 11)"
"(362, 215, 17)","(264, 212, 2)","(351, 277, 16)"
"(377, 228, 13)","(239, 273, 0)","(382, 259, 12)"
"(381, 198, 11)","(243, 199, -1)","(386, 245, 18)"
"(356, 203, 13)","(229, 199, 1)","(359, 249, 17)"
"(151, 227, 10)","(238, 228, 22)","(147, 230, 15)"
"(164, 257, 11)","(242, 259, 21)","(160, 250, 13)"
