coronal,sagittal,transversal
"(311, 260, 23)","(347, 252, 7)","(334, 321, 12)"
"(351, 321, 22)","(277, 314, 3)","(354, 326, 6)"
"(192, 218, 26)","(398, 215, 19)","(190, 404, 14)"
"(154, 246, 24)","(378, 231, 22)","(147, 381, 13)"
"(324, 277, 23)","(359, 268, 6)","(327, 375, 11)"
"(326, 185, 22)","(343, 180, 5)","(329, 352, 17)"
"(312, 169, 23)","(333, 159, 6)","(315, 370, 21)"
"(331, 176, 24)","(386, 173, 5)","(334, 389, 18)"
"(294, 215, 21)","(339, 212, 9)","(296, 350, 16)"
"(184, 299, 25)","(374, 278, 18)","(181, 396, 6)"
"(270, 225, 24)","(363, 216, 10)","(275, 369, 16)"
"(207, 232, 25)","(306, 223, 17)","(205, 368, 12)"
"(196, 289, 23)","(372, 278, 18)","(178, 365, 11)"
"(322, 277, 27)","(355, 269, 6)","(323, 417, 8)"
"(316, 232, 24)","(357, 223, 6)","(319, 387, 13)"
"(192, 172, 23)","(366, 169, 19)","(190, 354, 18)"
"(330, 251, 24)","(356, 246, 4)","(336, 384, 12)"
"(225, 236, 22)","(342, 234, 15)","(224, 348, 11)"
"(242, 147, 20)","(316, 143, 14)","(241, 330, 24)"
"(350, 212, 24)","(370, 193, 3)","(354, 385, 14)"
"(182, 189, 19)","(323, 178, 20)","(179, 336, 20)"
"(181, 244, 24)","(380, 244, 20)","(178, 385, 14)"
"(288, 154, 16)","(220, 145, 9)","(297, 272, 20)"
"(313, 151, 19)","(330, 150, 7)","(316, 338, 23)"
"(200, 266, 26)","(335, 255, 18)","(198, 387, 10)"
"(184, 178, 21)","(318, 170, 19)","(182, 356, 19)"
"(300, 245, 21)","(320, 240, 8)","(301, 354, 13)"
"(280, 225, 27)","(329, 213, 9)","(281, 421, 14)"
"(218, 188, 23)","(318, 182, 16)","(216, 347, 17)"
"(321, 156, 21)","(321, 152, 6)","(324, 344, 21)"
"(333, 208, 24)","(385, 201, 4)","(336, 383, 16)"
"(318, 237, 24)","(336, 231, 5)","(321, 368, 11)"
"(347, 227, 24)","(374, 217, 3)","(351, 372, 12)"
"(304, 189, 24)","(389, 181, 7)","(308, 374, 18)"
"(312, 209, 26)","(402, 203, 6)","(315, 398, 14)"
"(208, 163, 26)","(356, 141, 17)","(218, 396, 18)"
"(176, 194, 22)","(295, 192, 19)","(173, 349, 18)"
"(290, 206, 21)","(325, 196, 9)","(291, 350, 17)"
"(218, 208, 24)","(375, 196, 15)","(228, 381, 16)"
"(165, 276, 23)","(374, 269, 21)","(161, 364, 9)"
"(238, 155, 28)","(354, 136, 13)","(238, 402, 20)"
"(288, 211, 24)","(339, 212, 8)","(287, 343, 16)"
"(202, 300, 24)","(342, 282, 17)","(197, 352, 11)"
"(326, 202, 25)","(393, 188, 5)","(329, 381, 15)"
"(318, 179, 21)","(351, 176, 6)","(321, 360, 19)"
"(187, 188, 24)","(312, 191, 18)","(183, 339, 18)"
"(177, 229, 23)","(374, 206, 20)","(174, 369, 15)"
"(318, 246, 21)","(346, 234, 6)","(320, 358, 13)"
"(325, 181, 22)","(343, 173, 6)","(328, 363, 17)"
"(314, 217, 26)","(373, 230, 5)","(325, 373, 11)"
"(331, 288, 21)","(316, 287, 5)","(334, 325, 9)"
"(327, 186, 24)","(367, 175, 5)","(330, 348, 18)"
"(176, 279, 25)","(351, 271, 20)","(173, 358, 9)"
"(233, 206, 22)","(334, 195, 13)","(238, 366, 18)"
"(340, 180, 23)","(315, 175, 3)","(344, 368, 17)"
"(273, 217, 26)","(327, 213, 8)","(283, 335, 17)"
"(315, 220, 20)","(384, 228, 7)","(302, 388, 15)"
"(169, 240, 29)","(393, 275, 20)","(170, 408, 15)"
"(215, 219, 29)","(376, 210, 16)","(214, 409, 15)"
"(168, 345, 21)","(349, 335, 20)","(165, 344, 5)"
"(153, 203, 23)","(345, 194, 20)","(161, 381, 17)"
"(162, 180, 22)","(360, 176, 21)","(146, 353, 17)"
"(343, 224, 23)","(362, 217, 4)","(347, 367, 14)"
"(310, 277, 25)","(350, 276, 6)","(318, 365, 10)"
"(165, 223, 21)","(350, 213, 21)","(161, 335, 15)"
"(165, 300, 23)","(389, 291, 21)","(161, 377, 7)"
"(329, 291, 26)","(375, 283, 3)","(338, 379, 10)"
"(214, 230, 24)","(365, 219, 16)","(211, 372, 15)"
"(177, 208, 26)","(404, 209, 20)","(174, 410, 16)"
"(209, 206, 26)","(320, 191, 17)","(207, 397, 15)"
"(172, 228, 24)","(369, 226, 20)","(169, 372, 15)"
"(338, 197, 23)","(369, 185, 4)","(342, 373, 16)"
"(361, 228, 25)","(380, 227, 1)","(366, 396, 11)"
"(185, 230, 26)","(349, 212, 18)","(182, 364, 11)"
"(316, 203, 25)","(301, 195, 5)","(318, 372, 15)"
"(321, 191, 24)","(378, 188, 5)","(323, 382, 18)"
"(197, 235, 24)","(373, 227, 18)","(194, 381, 15)"
"(375, 196, 16)","(301, 173, 0)","(380, 297, 10)"
"(328, 226, 26)","(393, 224, 5)","(332, 393, 14)"
"(341, 282, 27)","(349, 272, 2)","(354, 400, 6)"
"(328, 256, 24)","(383, 255, 5)","(332, 389, 12)"
"(302, 183, 24)","(369, 179, 8)","(304, 383, 19)"
"(190, 278, 28)","(402, 267, 18)","(189, 392, 12)"
"(220, 206, 27)","(380, 166, 15)","(218, 413, 19)"
"(182, 200, 23)","(372, 205, 19)","(173, 332, 18)"
"(168, 214, 26)","(398, 216, 20)","(164, 403, 15)"
"(299, 184, 25)","(377, 176, 8)","(301, 393, 18)"
"(233, 230, 26)","(416, 226, 15)","(232, 386, 13)"
"(184, 201, 24)","(311, 175, 18)","(181, 354, 15)"
"(306, 210, 24)","(397, 209, 7)","(308, 388, 15)"
